,State_Name,District_Name,Crop_Year,Season,Crop,Area,production
47395,Chhattisgarh,BILASPUR,2000,Kharif     ,Cotton(lint),13.0,28.8
47651,Chhattisgarh,BILASPUR,2006,Rabi       ,Jute,183.0,1308.7
47715,Chhattisgarh,BILASPUR,2008,Kharif     ,Castor seed,1.0,1.0
47753,Chhattisgarh,BILASPUR,2009,Kharif     ,Bajra,12.0,4.6654761904761894
47754,Chhattisgarh,BILASPUR,2009,Kharif     ,Castor seed,1.0,1.0
47758,Chhattisgarh,BILASPUR,2009,Kharif     ,Jute,114.0,989.4
47772,Chhattisgarh,BILASPUR,2009,Rabi       ,Horse-gram,7.0,2.2
47793,Chhattisgarh,BILASPUR,2009,Whole Year ,Turmeric,1.0,1.28090069244481
47800,Chhattisgarh,BILASPUR,2010,Kharif     ,Jute,196.0,1571.3
47840,Chhattisgarh,BILASPUR,2011,Kharif     ,Jute,94.0,968.1
47865,Chhattisgarh,BILASPUR,2011,Summer     ,Moong(Green Gram),1.0,0.8
47879,Chhattisgarh,BILASPUR,2012,Kharif     ,Jute,78.0,647.4
47915,Chhattisgarh,BILASPUR,2013,Kharif     ,Jute,74.0,704.3
47918,Chhattisgarh,BILASPUR,2013,Kharif     ,Niger seed,320.0,75.4
47926,Chhattisgarh,BILASPUR,2013,Kharif     ,Sunflower,12.0,9.01
47986,Chhattisgarh,DANTEWADA,2000,Kharif     ,Castor seed,1.0,1.0
48040,Chhattisgarh,DANTEWADA,2001,Rabi       ,Peas & beans (Pulses),1.0,1.1
48055,Chhattisgarh,DANTEWADA,2002,Kharif     ,Castor seed,1.0,1.0
48074,Chhattisgarh,DANTEWADA,2002,Rabi       ,Linseed,2.0,1.025
48145,Chhattisgarh,DANTEWADA,2004,Rabi       ,Peas & beans (Pulses),1.0,1.1
48174,Chhattisgarh,DANTEWADA,2005,Kharif     ,Sunflower,1.0,1.0
48181,Chhattisgarh,DANTEWADA,2005,Rabi       ,Safflower,1.0,1.0
48208,Chhattisgarh,DANTEWADA,2006,Kharif     ,Sunflower,1.0,1.0
48246,Chhattisgarh,DANTEWADA,2007,Rabi       ,Other  Rabi pulses,3.0,3.3
48259,Chhattisgarh,DANTEWADA,2008,Kharif     ,Coconut ,4.0,18846.3
